Experiment 1		run: 1		seed: 316
(3,3)	-0.41204232126000007	-0.49098985608	-0.3228008800781701	-0.51
(3,4)	-0.8319300000000001	-0.3	1.3743668699999998	-0.7599
(3,5)	-0.8319300000000001	0	-0.17630698170000003	-0.8319300000000001
(4,1)	-0.8319300000000001	-0.7599	0	-0.9176456999999998
(4,2)	-0.5543751249311699	-0.70721055819	-0.7599	-0.9176456999999998
(4,3)	1.4746542389999997	-0.8319300000000001	-0.8319300000000001	-0.7599
(4,4)	-0.6402428309999999	-0.8319300000000001	-0.5539762107	-0.7642913009999999
(4,5)	-0.8319300000000001	0	-0.657	-0.15900000000000003
(5,1)	-0.9176456999999998	-0.8319300000000001	0	0
(5,2)	-0.9423519899999997	-0.9423519899999997	-0.8319300000000001	0
(5,3)	-0.7793272107	-0.7642913009999999	-0.9596463929999997	0
(5,4)	-0.8319300000000001	0.67638	-0.657	0
(5,5)	0	0	0	0


x = 1
		N	E	W	S
(1,1)	0	-0.8319300000000001	0	-0.7599
(1,2)	0	-0.8823509999999999	-0.7599	-0.3
(1,3)	0	-0.51	-0.657	-0.51
(1,4)	0	-0.657	0	-0.3
(1,5)	0	0	-0.3	0.08669999999999997
(2,1)	-0.657	-0.657	0	-0.51
(2,2)	-0.657	-0.657	-0.51	-0.51
(2,3)	-0.3	-0.3	-0.657	-0.3
(2,4)	-0.3	0.050999999999999976	0	-0.3
(2,5)	0	0	-0.29541	0
(3,1)	-0.51	-0.3	0	0
(3,2)	-0.657	-0.51	-0.3	-0.3
(3,3)	-0.3	-0.657	-0.657	-0.5713875900000001
(3,4)	-0.29541	-0.2578179	-0.51	-0.3
(3,5)	1.3153742999999998	0	-0.3	-0.3
(4,1)	0	-0.3	0	0
(4,2)	-0.3	-0.3	-0.3	0
(4,3)	0	-0.51	-0.3	0.770166
(4,4)	0	-0.51	-0.51	0
(4,5)	-0.67735506	0	-0.3	-0.51
(5,1)	0	0	0	0
(5,2)	0	0	0	0
(5,3)	0	0	0	0
(5,4)	0	-0.3	0.3323999999999999	0
(5,5)	-0.7599	0	-0.649197	0


step :	600
x = 0
		N	E	W	S
(1,1)	0	0	0	0
(1,2)	0	-0.3	0	-0.8319300000000001
(1,3)	0	-0.7599	-0.8823509999999999	-0.79593144849
(1,4)	0	-0.657	-0.9596463929999997	-0.51
(1,5)	0	0	-0.7599	-0.8319300000000001
(2,1)	-0.15900000000000003	-0.8823509999999999	0	-0.657
(2,2)	-0.3	-0.6424158267333	-0.9596463929999997	-0.40272490879431017
(2,3)	-0.8823509999999999	-0.8319300000000001	-0.9717524750999997	1.3304594399999998
(2,4)	-0.8823509999999999	-0.8823509999999999	-0.6061492569162	-0.489012289923
(2,5)	-0.8319300000000001	0	-0.9802267325699998	-0.8319300000000001
(3,1)	-0.51	-0.5742190361301001	0	-0.8823509999999999
(3,2)	-0.657	2.0195671705769995	-0.657	-0.9717524750999997
(3,3)	-0.41204232126000007	-0.49098985608	-0.3652525695344434	-0.51
(3,4)	-0.8319300000000001	-0.3	1.3743668699999998	-0.7599
(3,5)	-0.8319300000000001	0	-0.17630698170000003	-0.8319300000000001
(4,1)	-0.9176456999999998	-0.8319300000000001	0	-0.9176456999999998
(4,2)	-0.48740097150444334	-0.5881323064052699	-0.7599	-0.9176456999999998
(4,3)	1.7056160672999994	-0.8823509999999999	-0.8319300000000001	-0.8319300000000001
(4,4)	-0.6402428309999999	-0.8319300000000001	-0.5539762107	-0.6920085972899999
(4,5)	-0.8319300000000001	0	-0.7599	-0.15900000000000003
(5,1)	-0.9596463929999997	-0.8823509999999999	0	0
(5,2)	-0.9596463929999997	-0.9423519899999997	-0.8823509999999999	0
(5,3)	-0.7793272107	-0.7393745006999999	-0.9717524750999997	0
(5,4)	-0.8319300000000001	1.8391085459999994	-0.7599	0
(5,5)	-0.3	0	-0.25520025966000004	0


x = 1
		N	E	W	S
(1,1)	0	-0.8319300000000001	0	-0.7599
(1,2)	0	-0.8823509999999999	-0.7599	-0.3
(1,3)	0	-0.51	-0.657	-0.51
(1,4)	0	-0.657	0	-0.3
(1,5)	0	0	-0.3	0.08669999999999997
(2,1)	-0.657	-0.657	0	-0.51
(2,2)	-0.657	-0.657	-0.51	-0.51
(2,3)	-0.3	-0.3	-0.657	-0.3
(2,4)	-0.3	0.7090580999999998	0	-0.3
(2,5)	0	0	-0.29541	-0.181616313
(3,1)	-0.51	-0.51	0	-0.51
(3,2)	-0.657	-0.7599	-0.657	-0.657
(3,3)	-0.3	-0.7599	-0.9176456999999998	-0.5713875900000001
(3,4)	-0.29541	-0.2578179	-0.657	-0.3
(3,5)	1.3153742999999998	0	-0.3	-0.51
(4,1)	-0.3	-0.3	0	0.050999999999999976
(4,2)	-0.51	-0.3	-0.3	-0.19697621070000004
(4,3)	-0.51	-0.657	-0.3	1.5220901099999997
(4,4)	0	-0.657	-0.642064602	-0.21845657100000004
(4,5)	-0.67735506	0	-0.51	-0.7599
(5,1)	0	0	0	0
(5,2)	0	1.1447087699999998	-0.3	0
(5,3)	-0.37065009654000003	-0.37137617070000006	-0.449397771	0
(5,4)	-0.51	-0.3	1.5886674389999995	0
(5,5)	-0.8319300000000001	0	-0.6894827007	0


step :	700
x = 0
		N	E	W	S
(1,1)	0	0	0	0
(1,2)	0	-0.51	0.29669999999999996	-0.8319300000000001
(1,3)	0	-0.7599	-0.9176456999999998	-0.737410664343
(1,4)	0	-0.9423519899999997	-0.9717524750999997	-0.657
(1,5)	0	0	-0.9596463929999997	-0.8823509999999999
(2,1)	-0.15900000000000003	-0.8823509999999999	0	-0.657
(2,2)	-0.3	-0.6424158267333	-0.9596463929999997	-0.40272490879431017
(2,3)	-0.8823509999999999	-0.8319300000000001	-0.9717524750999997	1.6046797079999997
(2,4)	-0.9596463929999997	-0.8823509999999999	-0.6061492569162	-0.489012289923
(2,5)	-0.8823509999999999	0	-0.9861587127989999	-0.8319300000000001
(3,1)	-0.51	-0.5742190361301001	0	-0.8823509999999999
(3,2)	-0.657	2.0195671705769995	-0.657	-0.9717524750999997
(3,3)	-0.41204232126000007	-0.5168125748592001	-0.3652525695344434	-0.51
(3,4)	-0.8823509999999999	-0.51	1.6354149089999996	-0.7599
(3,5)	-0.8823509999999999	0	-0.17630698170000003	-0.8823509999999999
(4,1)	-0.9176456999999998	-0.8319300000000001	0	-0.9176456999999998
(4,2)	-0.48740097150444334	-0.5881323064052699	-0.7599	-0.9176456999999998
(4,3)	1.7056160672999994	-0.9176456999999998	-0.8319300000000001	-0.8319300000000001
(4,4)	-0.6244769633999999	-0.8319300000000001	-0.534277901433	-0.5490918980955
(4,5)	-0.8823509999999999	0	-0.8823509999999999	-0.15900000000000003
(5,1)	-0.9596463929999997	-0.9176456999999998	0	0
(5,2)	-0.9596463929999997	-0.9596463929999997	-0.8823509999999999	0
(5,3)	-0.7793272107	-0.6520423813499999	-0.9717524750999997	0
(5,4)	-0.8823509999999999	2.0458719575399993	-0.7599	0
(5,5)	-0.657	0	-0.25520025966000004	0


x = 1
		N	E	W	S
(1,1)	0	-0.8823509999999999	0	-0.8319300000000001
(1,2)	0	-0.8823509999999999	-0.7599	-0.51
(1,3)	0	-0.51	-0.657	-0.51
(1,4)	0	-0.657	0	-0.446184771
(1,5)	0	0	-0.3	0.08669999999999997
(2,1)	-0.7599	-0.657	0	-0.51
(2,2)	-0.657	-0.7599	-0.51	-0.51
(2,3)	-0.3	-0.3	-0.657	-0.51
(2,4)	-0.51	1.1696987699999997	0	-0.51
(2,5)	0	0	-0.5048073504	-0.2836606092
(3,1)	-0.51	-0.657	0	-0.51
(3,2)	-0.657	-0.7599	-0.7599	-0.7599
(3,3)	-0.3	-0.8319300000000001	-0.9176456999999998	-0.5629832030999999
(3,4)	-0.29541	-0.2578179	-0.657	-0.657
(3,5)	1.7892421769999993	0	-0.3	-0.657
(4,1)	-0.3	-0.3	0	0.050999999999999976
(4,2)	-0.657	-0.339852036849	-0.3	-0.3051644659800001
(4,3)	-0.657	-0.7599	-0.51	1.9967311467299993
(4,4)	0	-0.7599	-0.5353601176233	-0.3739776016230001
(4,5)	-0.6406517114999999	0	-0.51	-0.7599
(5,1)	0	0	0	0
(5,2)	-0.3	1.4746542389999997	0.08669999999999997	0
(5,3)	-0.41192485000260004	-0.43119999732900016	-0.52536937377	0
(5,4)	-0.7599	-0.3	1.9231558151099994	0
(5,5)	-0.8319300000000001	0	-0.6894827007	0


step :	800
x = 0
		N	E	W	S
(1,1)	0	0	0	0
(1,2)	0	-0.51	0.29669999999999996	-0.8319300000000001
(1,3)	0	-0.7599	-0.9176456999999998	-0.6258152302040699
(1,4)	0	-0.9423519899999997	-0.9802267325699998	-0.657
(1,5)	0	0	-0.9596463929999997	-0.9176456999999998
(2,1)	0.35739	-0.9176456999999998	0	-0.657
(2,2)	-0.3	-0.60526990499331	-0.9596463929999997	-0.40014639080408715
(2,3)	-0.9176456999999998	-0.9176456999999998	-0.9717524750999997	1.7966338955999994
(2,4)	-0.9596463929999997	-0.9176456999999998	-0.544221263680938	-0.49939754098527
(2,5)	-0.9176456999999998	0	-0.9932177692715098	-0.8823509999999999
(3,1)	-0.7599	-0.5201922799391401	0	-0.9176456999999998
(3,2)	-0.7599	2.0870551194038995	-0.7599	-0.9802267325699998
(3,3)	-0.41204232126000007	-0.51458146059144	-0.3652525695344434	-0.503494553943
(3,4)	-0.9176456999999998	-0.8823509999999999	1.6354149089999996	-0.8823509999999999
(3,5)	-0.9423519899999997	0	-0.34617193995600004	-0.8917667609999997
(4,1)	-0.9717524750999997	-0.9423519899999997	0	-0.9176456999999998
(4,2)	-0.4337587835444752	-0.558187168426689	-0.8823509999999999	-0.9596463929999997
(4,3)	1.7056160672999994	-0.9423519899999997	-0.9423519899999997	-0.8319300000000001
(4,4)	-0.565775230989	-0.8823509999999999	-0.51083691340527	-0.4162212681234218
